Summary
[Data Information]
Data is:,Measurement Data
Dataset Name:,RawData
Sample Name:,Grupo1_Desconhecida
Sample ID
Option
Analyst
Date/Time:,08/08/2023 04:24:18 PM
Comments
Parameter File Name:,Esfera de Integração.vspm
Report File Name
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.11
[Instrument Information]
Instrument Name:,UV-2600i
Instrument Type:,UV-2600 Series
Model (S/N):,UV-2600i (A12595900700)

Parameter
[Measurement]
Start:,800 nm
End:,200 nm
Data Interval:,1.0
Scan Speed:,High speed
Spectrum Type:,Absorbance
[Accessories]
540.0,0.569
541.0,0.561
542.0,0.552
543.0,0.544
544.0,0.535
545.0,0.526
546.0,0.516
547.0,0.506
548.0,0.496
549.0,0.486
550.0,0.476
551.0,0.466
552.0,0.457
553.0,0.447
554.0,0.437
555.0,0.428
556.0,0.419
557.0,0.410
558.0,0.401
559.0,0.393
560.0,0.385
561.0,0.378
562.0,0.370
563.0,0.363
564.0,0.357
565.0,0.351
566.0,0.346
567.0,0.341
568.0,0.337
569.0,0.333
570.0,0.329
571.0,0.327
572.0,0.324
573.0,0.322
574.0,0.320
575.0,0.318
576.0,0.318
577.0,0.317
578.0,0.316
579.0,0.315
580.0,0.315
581.0,0.315
582.0,0.314
583.0,0.314
584.0,0.314
585.0,0.314
586.0,0.314
587.0,0.314
588.0,0.314
589.0,0.314
590.0,0.313
591.0,0.313
592.0,0.313
593.0,0.312
594.0,0.312
595.0,0.312
596.0,0.311
597.0,0.310
598.0,0.310
599.0,0.309
600.0,0.308
601.0,0.307
602.0,0.306
603.0,0.305
604.0,0.304
605.0,0.302
606.0,0.301
607.0,0.299
608.0,0.298
609.0,0.296
610.0,0.295
611.0,0.293
612.0,0.292
613.0,0.289
614.0,0.288
615.0,0.286
616.0,0.284
617.0,0.282
618.0,0.280
619.0,0.278
620.0,0.276
621.0,0.274
622.0,0.273
623.0,0.271
624.0,0.269
625.0,0.266
626.0,0.265
627.0,0.263
628.0,0.262
629.0,0.260
630.0,0.259
631.0,0.257
632.0,0.256
633.0,0.254
634.0,0.252
635.0,0.251
636.0,0.250
637.0,0.249
638.0,0.247
639.0,0.246
640.0,0.246
641.0,0.245
642.0,0.244
643.0,0.244
644.0,0.243
645.0,0.243
646.0,0.243
647.0,0.242
648.0,0.242
649.0,0.242
650.0,0.242
651.0,0.243
652.0,0.243
653.0,0.243
654.0,0.244
655.0,0.245
656.0,0.245
657.0,0.246
658.0,0.247
659.0,0.248
660.0,0.249
661.0,0.250
662.0,0.251
663.0,0.252
664.0,0.253
665.0,0.255
666.0,0.256
667.0,0.258
668.0,0.260
669.0,0.261
670.0,0.263
671.0,0.264
672.0,0.266
673.0,0.268
674.0,0.270
675.0,0.272
676.0,0.274
677.0,0.276
678.0,0.277
679.0,0.279
680.0,0.281
681.0,0.283
682.0,0.285
683.0,0.287
684.0,0.289
685.0,0.292
686.0,0.293
687.0,0.295
688.0,0.297
689.0,0.299
690.0,0.301
691.0,0.303
692.0,0.305
693.0,0.307
694.0,0.309
695.0,0.311
696.0,0.313
697.0,0.315
698.0,0.317
699.0,0.318
700.0,0.319
701.0,0.321
702.0,0.322
703.0,0.324
704.0,0.326
705.0,0.327
706.0,0.328
707.0,0.330
708.0,0.331
709.0,0.333
710.0,0.334
711.0,0.335
712.0,0.336
713.0,0.337
714.0,0.338
715.0,0.339
716.0,0.340
717.0,0.341
718.0,0.341
719.0,0.342
720.0,0.342
721.0,0.343
722.0,0.344
723.0,0.344
724.0,0.344
725.0,0.345
726.0,0.345
727.0,0.345
728.0,0.346
729.0,0.346
730.0,0.346
731.0,0.346
732.0,0.346
733.0,0.346
734.0,0.346
735.0,0.346
736.0,0.346
737.0,0.345
738.0,0.345
739.0,0.344
740.0,0.344
741.0,0.343
742.0,0.342
743.0,0.342
744.0,0.342
745.0,0.341
746.0,0.341
747.0,0.341
748.0,0.340
749.0,0.338
750.0,0.337
751.0,0.336
752.0,0.336
753.0,0.335
754.0,0.334
755.0,0.333
756.0,0.332
757.0,0.331
758.0,0.330
759.0,0.328
760.0,0.327
761.0,0.326
762.0,0.324
763.0,0.323
764.0,0.321
765.0,0.320
766.0,0.319
767.0,0.317
768.0,0.315
769.0,0.314
770.0,0.313
771.0,0.311
772.0,0.310
773.0,0.308
774.0,0.306
775.0,0.304
776.0,0.303
777.0,0.301
778.0,0.300
779.0,0.298
780.0,0.297
781.0,0.296
782.0,0.294
783.0,0.293
784.0,0.290
785.0,0.289
786.0,0.286
787.0,0.285
788.0,0.283
789.0,0.282
790.0,0.279
791.0,0.278
792.0,0.276
793.0,0.274
794.0,0.273
795.0,0.271
796.0,0.270
797.0,0.268
798.0,0.266
799.0,0.265
800.0,0.264
