Potential applied (V)	WE(1).Current (A)
-0.6976318359375	-2.5518798828125E-05
-0.6951904296875	-2.44232177734375E-05
-0.6927490234375	-2.34039306640625E-05
-0.6903076171875	-2.24334716796875E-05
-0.6878662109375	-2.1630859375E-05
-0.6854248046875	-2.088623046875E-05
-0.6829833984375	-2.0318603515625E-05
-0.6805419921875	-1.98272705078125E-05
-0.6781005859375	-1.9403076171875E-05
-0.6756591796875	-1.90277099609375E-05
-0.6732177734375	-1.8707275390625E-05
-0.6707763671875	-1.8304443359375E-05
-0.6683349609375	-1.785888671875E-05
-0.6658935546875	-1.7352294921875E-05
-0.6634521484375	-1.676025390625E-05
-0.6610107421875	-1.6119384765625E-05
-0.6585693359375	-1.55029296875E-05
-0.6561279296875	-1.485595703125E-05
-0.6536865234375	-1.42181396484375E-05
-0.6512451171875	-1.36993408203125E-05
-0.6488037109375	-1.32568359375E-05
-0.6463623046875	-1.2933349609375E-05
-0.6439208984375	-1.26708984375E-05
-0.6414794921875	-1.240234375E-05
-0.6390380859375	-1.219482421875E-05
-0.6365966796875	-1.2030029296875E-05
-0.6341552734375	-1.1767578125E-05
-0.6317138671875	-1.146240234375E-05
-0.6292724609375	-1.103515625E-05
-0.6268310546875	-1.05682373046875E-05
-0.6243896484375	-1.00677490234375E-05
-0.6219482421875	-9.5428466796875E-06
-0.6195068359375	-8.9996337890625E-06
-0.6170654296875	-8.5601806640625E-06
-0.6146240234375	-8.123779296875E-06
-0.6121826171875	-7.8399658203125E-06
-0.6097412109375	-7.5592041015625E-06
-0.6072998046875	-7.391357421875E-06
-0.6048583984375	-7.2357177734375E-06
-0.6024169921875	-7.12890625E-06
-0.5999755859375	-6.9976806640625E-06
-0.5975341796875	-6.842041015625E-06
-0.5950927734375	-6.610107421875E-06
-0.5926513671875	-6.298828125E-06
-0.5902099609375	-5.938720703125E-06
-0.5877685546875	-5.596923828125E-06
-0.5853271484375	-5.224609375E-06
-0.5828857421875	-4.78515625E-06
-0.5804443359375	-4.412841796875E-06
-0.5780029296875	-4.107666015625E-06
-0.5755615234375	-3.9337158203125E-06
-0.5731201171875	-3.8177490234375E-06
-0.5706787109375	-3.69873046875E-06
