Potential applied (V)	WE(1).Current (A)
-0.6976318359375	-1.95648193359375E-05
-0.6951904296875	-1.875E-05
-0.6927490234375	-1.810302734375E-05
-0.6903076171875	-1.7626953125E-05
-0.6878662109375	-1.72576904296875E-05
-0.6854248046875	-1.693115234375E-05
-0.6829833984375	-1.66748046875E-05
-0.6805419921875	-1.644287109375E-05
-0.6781005859375	-1.6131591796875E-05
-0.6756591796875	-1.57989501953125E-05
-0.6732177734375	-1.5338134765625E-05
-0.6707763671875	-1.48162841796875E-05
-0.6683349609375	-1.4288330078125E-05
-0.6658935546875	-1.37176513671875E-05
-0.6634521484375	-1.31500244140625E-05
-0.6610107421875	-1.26800537109375E-05
-0.6585693359375	-1.22528076171875E-05
-0.6561279296875	-1.1962890625E-05
-0.6536865234375	-1.1767578125E-05
-0.6512451171875	-1.15814208984375E-05
-0.6488037109375	-1.1456298828125E-05
-0.6463623046875	-1.1358642578125E-05
-0.6439208984375	-1.11846923828125E-05
-0.6414794921875	-1.097412109375E-05
-0.6390380859375	-1.06658935546875E-05
-0.6365966796875	-1.025390625E-05
-0.6341552734375	-9.832763671875E-06
-0.6317138671875	-9.3780517578125E-06
-0.6292724609375	-8.88671875E-06
-0.6268310546875	-8.4747314453125E-06
-0.6243896484375	-8.0810546875E-06
-0.6219482421875	-7.7545166015625E-06
-0.6195068359375	-7.5469970703125E-06
-0.6170654296875	-7.4432373046875E-06
-0.6146240234375	-7.32421875E-06
-0.6121826171875	-7.2601318359375E-06
-0.6097412109375	-7.1563720703125E-06
-0.6072998046875	-7.025146484375E-06
-0.6048583984375	-6.8084716796875E-06
-0.6024169921875	-6.50634765625E-06
-0.5999755859375	-6.1553955078125E-06
-0.5975341796875	-5.79833984375E-06
-0.5950927734375	-5.401611328125E-06
-0.5926513671875	-5.023193359375E-06
-0.5902099609375	-4.681396484375E-06
-0.5877685546875	-4.412841796875E-06
-0.5853271484375	-4.2449951171875E-06
-0.5828857421875	-4.1961669921875E-06
-0.5804443359375	-4.0924072265625E-06
-0.5780029296875	-4.058837890625E-06
-0.5755615234375	-4.0496826171875E-06
-0.5731201171875	-3.985595703125E-06
-0.5706787109375	-3.8421630859375E-06
-0.5682373046875	-3.64990234375E-06
-0.5657958984375	-3.35693359375E-06
-0.5633544921875	-3.1097412109375E-06
-0.5609130859375	-2.8167724609375E-06
-0.5584716796875	-2.49969482421875E-06
-0.5560302734375	-2.2601318359375E-06
-0.5535888671875	-2.0538330078125E-06
-0.5511474609375	-1.94183349609375E-06
-0.5487060546875	-1.91436767578125E-06
-0.5462646484375	-1.873779296875E-06
-0.5438232421875	-1.8768310546875E-06
-0.5413818359375	-1.932373046875E-06
-0.5389404296875	-1.91162109375E-06
-0.5364990234375	-1.87164306640625E-06
-0.5340576171875	-1.74346923828125E-06
-0.5316162109375	-1.544189453125E-06
-0.5291748046875	-1.36932373046875E-06
-0.5267333984375	-1.14898681640625E-06
-0.5242919921875	-8.70361328125E-07
-0.5218505859375	-6.8023681640625E-07
-0.5194091796875	-5.01708984375E-07
-0.5169677734375	-4.3121337890625E-07
-0.5145263671875	-4.1229248046875E-07
-0.5120849609375	-4.180908203125E-07
-0.5096435546875	-4.4830322265625E-07
-0.5072021484375	-5.28564453125E-07
-0.5047607421875	-5.517578125E-07
-0.5023193359375	-5.6549072265625E-07
-0.4998779296875	-4.7332763671875E-07
-0.4974365234375	-3.3447265625E-07
-0.4949951171875	-2.2857666015625E-07
-0.4925537109375	-2.532958984375E-08
-0.4901123046875	2.3284912109375E-07
-0.4876708984375	3.9520263671875E-07
-0.4852294921875	5.5084228515625E-07
-0.4827880859375	5.938720703125E-07
-0.4803466796875	6.2408447265625E-07
-0.4779052734375	6.2347412109375E-07
-0.4754638671875	6.103515625E-07
-0.4730224609375	4.9896240234375E-07
-0.4705810546875	4.3670654296875E-07
-0.4681396484375	3.94287109375E-07
-0.4656982421875	4.449462890625E-07
-0.4632568359375	5.3375244140625E-07
-0.4608154296875	6.4483642578125E-07
-0.4583740234375	7.9254150390625E-07
-0.4559326171875	9.8602294921875E-07
-0.4534912109375	1.12060546875E-06
-0.4510498046875	1.24786376953125E-06
-0.4486083984375	1.29638671875E-06
-0.4461669921875	1.3226318359375E-06
-0.4437255859375	1.3433837890625E-06
-0.4412841796875	1.27197265625E-06
-0.4388427734375	1.17034912109375E-06
-0.4364013671875	1.12335205078125E-06
-0.4339599609375	1.05682373046875E-06
-0.4315185546875	1.07635498046875E-06
-0.4290771484375	1.12335205078125E-06
-0.4266357421875	1.201171875E-06
-0.4241943359375	1.31317138671875E-06
-0.4217529296875	1.47918701171875E-06
-0.4193115234375	1.5789794921875E-06
-0.4168701171875	1.71722412109375E-06
-0.4144287109375	1.77337646484375E-06
-0.4119873046875	1.78985595703125E-06
-0.4095458984375	1.79962158203125E-06
-0.4071044921875	1.76513671875E-06
-0.4046630859375	1.6552734375E-06
-0.4022216796875	1.5948486328125E-06
-0.3997802734375	1.5155029296875E-06
-0.3973388671875	1.51092529296875E-06
-0.3948974609375	1.52252197265625E-06
-0.3924560546875	1.59637451171875E-06
-0.3900146484375	1.6949462890625E-06
-0.3875732421875	1.82708740234375E-06
-0.3851318359375	1.9342041015625E-06
-0.3826904296875	2.05474853515625E-06
-0.3802490234375	2.1197509765625E-06
-0.3778076171875	2.13958740234375E-06
-0.3753662109375	2.11090087890625E-06
-0.3729248046875	2.078857421875E-06
-0.3704833984375	1.98333740234375E-06
-0.3680419921875	1.917724609375E-06
-0.3656005859375	1.8365478515625E-06
-0.3631591796875	1.8072509765625E-06
-0.3607177734375	1.81396484375E-06
-0.3582763671875	1.88995361328125E-06
-0.3558349609375	1.9464111328125E-06
-0.3533935546875	2.06756591796875E-06
-0.3509521484375	2.1697998046875E-06
-0.3485107421875	2.28607177734375E-06
-0.3460693359375	2.359619140625E-06
-0.3436279296875	2.38067626953125E-06
-0.3411865234375	2.33245849609375E-06
-0.3387451171875	2.31689453125E-06
-0.3363037109375	2.23236083984375E-06
-0.3338623046875	2.147216796875E-06
-0.3314208984375	2.07275390625E-06
-0.3289794921875	2.0233154296875E-06
-0.3265380859375	2.0233154296875E-06
-0.3240966796875	2.09381103515625E-06
-0.3216552734375	2.12371826171875E-06
-0.3192138671875	2.2161865234375E-06
-0.3167724609375	2.33673095703125E-06
-0.3143310546875	2.43255615234375E-06
-0.3118896484375	2.50762939453125E-06
-0.3094482421875	2.52899169921875E-06
-0.3070068359375	2.48626708984375E-06
-0.3045654296875	2.4676513671875E-06
-0.3021240234375	2.40386962890625E-06
-0.2996826171875	2.29888916015625E-06
-0.2972412109375	2.22869873046875E-06
-0.2947998046875	2.16278076171875E-06
-0.2923583984375	2.154541015625E-06
-0.2899169921875	2.21710205078125E-06
-0.2874755859375	2.24365234375E-06
-0.2850341796875	2.30865478515625E-06
-0.2825927734375	2.431640625E-06
-0.2801513671875	2.515869140625E-06
-0.2777099609375	2.5970458984375E-06
-0.2752685546875	2.61871337890625E-06
-0.2728271484375	2.57598876953125E-06
-0.2703857421875	2.559814453125E-06
-0.2679443359375	2.50396728515625E-06
-0.2655029296875	2.39044189453125E-06
-0.2630615234375	2.32177734375E-06
-0.2606201171875	2.2479248046875E-06
-0.2581787109375	2.2381591796875E-06
-0.2557373046875	2.27264404296875E-06
-0.2532958984375	2.2979736328125E-06
-0.2508544921875	2.35931396484375E-06
-0.2484130859375	2.48626708984375E-06
-0.2459716796875	2.55706787109375E-06
-0.2435302734375	2.64007568359375E-06
-0.2410888671875	2.65472412109375E-06
-0.2386474609375	2.640380859375E-06
-0.2362060546875	2.61444091796875E-06
-0.2337646484375	2.5616455078125E-06
-0.2313232421875	2.44659423828125E-06
-0.2288818359375	2.386474609375E-06
-0.2264404296875	2.30194091796875E-06
-0.2239990234375	2.291259765625E-06
-0.2215576171875	2.2991943359375E-06
-0.2191162109375	2.333984375E-06
-0.2166748046875	2.37884521484375E-06
-0.2142333984375	2.5E-06
-0.2117919921875	2.56561279296875E-06
-0.2093505859375	2.65228271484375E-06
-0.2069091796875	2.672119140625E-06
-0.2044677734375	2.67730712890625E-06
-0.2020263671875	2.64312744140625E-06
-0.1995849609375	2.59613037109375E-06
-0.1971435546875	2.48504638671875E-06
-0.1947021484375	2.42706298828125E-06
-0.1922607421875	2.34161376953125E-06
-0.1898193359375	2.314453125E-06
-0.1873779296875	2.30621337890625E-06
-0.1849365234375	2.3431396484375E-06
-0.1824951171875	2.38311767578125E-06
-0.1800537109375	2.4884033203125E-06
-0.1776123046875	2.54974365234375E-06
-0.1751708984375	2.64190673828125E-06
-0.1727294921875	2.6824951171875E-06
-0.1702880859375	2.694091796875E-06
-0.1678466796875	2.64678955078125E-06
-0.1654052734375	2.61749267578125E-06
-0.1629638671875	2.52471923828125E-06
-0.1605224609375	2.45635986328125E-06
-0.1580810546875	2.36846923828125E-06
-0.1556396484375	2.32208251953125E-06
-0.1531982421875	2.30743408203125E-06
-0.1507568359375	2.3614501953125E-06
-0.1483154296875	2.37701416015625E-06
-0.1458740234375	2.45697021484375E-06
-0.1434326171875	2.5390625E-06
-0.1409912109375	2.61932373046875E-06
-0.1385498046875	2.67608642578125E-06
-0.1361083984375	2.69561767578125E-06
-0.1336669921875	2.6446533203125E-06
-0.1312255859375	2.62420654296875E-06
-0.1287841796875	2.56622314453125E-06
-0.1263427734375	2.46856689453125E-06
-0.1239013671875	2.39654541015625E-06
-0.1214599609375	2.33551025390625E-06
-0.1190185546875	2.3150634765625E-06
-0.1165771484375	2.35748291015625E-06
-0.1141357421875	2.374267578125E-06
-0.1116943359375	2.42767333984375E-06
-0.1092529296875	2.53143310546875E-06
-0.1068115234375	2.5946044921875E-06
-0.1043701171875	2.6654052734375E-06
-0.1019287109375	2.6806640625E-06
-0.0994873046875	2.64862060546875E-06
-0.0970458984375	2.633056640625E-06
-0.0946044921875	2.5860595703125E-06
-0.0921630859375	2.47589111328125E-06
-0.0897216796875	2.41668701171875E-06
-0.0872802734375	2.34161376953125E-06
-0.0848388671875	2.32696533203125E-06
-0.0823974609375	2.3431396484375E-06
-0.0799560546875	2.3602294921875E-06
-0.0775146484375	2.40509033203125E-06
-0.0750732421875	2.5146484375E-06
-0.0726318359375	2.56500244140625E-06
-0.0701904296875	2.64617919921875E-06
-0.0677490234375	2.65960693359375E-06
-0.0653076171875	2.66357421875E-06
-0.0628662109375	2.6348876953125E-06
-0.0604248046875	2.59735107421875E-06
-0.0579833984375	2.49237060546875E-06
-0.0555419921875	2.44232177734375E-06
-0.0531005859375	2.36328125E-06
-0.0506591796875	2.3345947265625E-06
-0.0482177734375	2.32025146484375E-06
-0.0457763671875	2.35809326171875E-06
-0.0433349609375	2.38616943359375E-06
-0.0408935546875	2.467041015625E-06
-0.0384521484375	2.5299072265625E-06
-0.0360107421875	2.6092529296875E-06
-0.0335693359375	2.65899658203125E-06
-0.0311279296875	2.67425537109375E-06
-0.0286865234375	2.62725830078125E-06
-0.0262451171875	2.6123046875E-06
-0.0238037109375	2.545166015625E-06
-0.0213623046875	2.46734619140625E-06
-0.0189208984375	2.396240234375E-06
-0.0164794921875	2.34130859375E-06
-0.0140380859375	2.3199462890625E-06
-0.0115966796875	2.36785888671875E-06
-0.0091552734375	2.3724365234375E-06
-0.0067138671875	2.4212646484375E-06
-0.0042724609375	2.51983642578125E-06
-0.0018310546875	2.5811767578125E-06
0.0006103515625	2.65167236328125E-06
0.0030517578125	2.6654052734375E-06
0.0054931640625	2.63427734375E-06
0.0079345703125	2.61810302734375E-06
0.0103759765625	2.57781982421875E-06
0.0128173828125	2.47589111328125E-06
0.0152587890625	2.4212646484375E-06
0.0177001953125	2.34832763671875E-06
0.0201416015625	2.3394775390625E-06
0.0225830078125	2.3480224609375E-06
0.0250244140625	2.36968994140625E-06
0.0274658203125	2.406005859375E-06
0.0299072265625	2.50640869140625E-06
0.0323486328125	2.554931640625E-06
0.0347900390625	2.63397216796875E-06
0.0372314453125	2.650146484375E-06
0.0396728515625	2.65380859375E-06
0.0421142578125	2.62420654296875E-06
0.0445556640625	2.59368896484375E-06
0.0469970703125	2.50091552734375E-06
0.0494384765625	2.451171875E-06
0.0518798828125	2.3663330078125E-06
0.0543212890625	2.3455810546875E-06
0.0567626953125	2.3321533203125E-06
0.0592041015625	2.36297607421875E-06
0.0616455078125	2.3907470703125E-06
0.0640869140625	2.48046875E-06
0.0665283203125	2.53631591796875E-06
0.0689697265625	2.61016845703125E-06
0.0714111328125	2.6544189453125E-06
0.0738525390625	2.66693115234375E-06
